@ajit_ranade @netshrink Would anybody question why those 53000 have Aadhaar card till now? Come up with a good altea__ {'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@DailyFintech: Shows why India is the country to watch in Fintech  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Hasn't present &amp; future officials &amp; employees of Indian intelligence agencies been made to allow themselves to be ba__  {'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6124}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@DoT_India We still don't know on which number we will have to make the call for Aadhaar Verification through IVRS.a__  {'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.0772}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
Can u all feel the noose of #aadhaar tightening around your neck- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ajit_ranade: 53------------------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Liked on YouTube: Tech Talks #385 - Nokia 1---------------------- {'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@apnnewsindia: #Facebook responds to uproar over #Aadhaar test; announces intention of scrapping the programme for now.  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@Outlookindia: Foreign Firm Contracted For #Aadhaar Under FBI Radar For Installing Secret Code In US Biometric Machines  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Millions of people denied benefits due to non-matching of thumb print with Aadhaar records: BJP . -  {'neg': 0.157, 'neu': 0.703, 'pos': 0.141, 'compound': -0.0772}
Aadhaar is rubbing salt into the injuries of India's most vulnerable people. This is tremendously revolting. Humania__  {'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.2944}
@RaisinaSeries Nobody can question the speaker or his/her rulings. Not even courts. And everyone knows that. I'm pia__  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@nixxin: Hi @ShashiTharoor -------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
We Are Not Collecting #Indian #Usersa__ #Aadhaar #Data: #Facebook Read More :  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI @ceo_uidai @PMOIndia @narendramodi Sir-------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
a_oeNone of the problems in the implementation of NREGA can be fixed by #Aadhaar. On the contrary {'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.4019}
Hi @ShashiTharoor ----------------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
What is the fastest digital growth story? Facebook Android Aadhaar  {'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}
BJP MP says elderly not getting pension due to Aadhaar link ----- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ajit_ranade: 53------------------------------------------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
Shows why India is the country to watch in Fintech -------------- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@TheOfficialSBI can you tell me the last date of Linking Aadhaar and pan card with an sbi account and will the bana__  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@UIDAI: Facebook clarifies it is not collecting usera__s Aadhaar data in India #AadhaarInNews  {'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
